competition,year,winner_business
competition,lastupdate,year,winner_business,2nd place business,3rd place business,4th place business
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:28,2023 ,"Faculty of Agriculture, Gulu University:Village Savings and Agriculture Insurance","Dehli School of Economics, University of Dehli:Sustainable Stubble Fund","Judge Business School, University of Cambridge:Afrovax REIT",University College London:Auaca Fund: Deforestation Prevention and Sustainable Farming through Debt-for-Nature Swaps
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:29,2022 ,"Judge Business School, Cambridge University:Coast Haven Brokerage","The Fletcher School, Tufts University:GOAL Fund",University of St. Gallen:Black Soldier Flies Convertible Minibonds,"Delhi School of Economics, University of Delhi:Building Bricks Securitized-Carbon and Kiln Loan Fund"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:30,2018 ,"Singapore Management University, Lee Kong Chian School of Business:ASEAN Storm Resilience Fund","University of Virginia, Darden School of Business:Resilient Infrastructure Swap Exchange (RISE)",London School of Economics:MediBus,"Dartmouth College, Tuck School of Business:Jane Urban Infrastructure Partners"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:30,2014 ,"Northwestern University, Kellogg School of Management:Fresh Coast Capital","University of California, Berkeley, Haas School of Business:myCatch","Johns Hopkins University, School of Advanced International Studies:Helios",INSEAD:Photon
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2017 ,"Northwestern University, Kellogg School of Management:EduIndia","Columbia University, School of International and Public Affairs:Carbon Offset Investment","Duke University, Fuqua School of Business:OneEarth ETF",Paris Dauphine University:Solar Agriculture Fund
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2021 ,"University of Oxford, Saïd Business School; University of Oxford,  Smith School of Enterprise; University of Oxford, Environment and Medical Research Council Brain Network Dynamics Unit:BeeBank & Brokerage",University of Edinburgh Business School; University of Edinburgh School of Engineering:Fund for E-Bus Batteries,"Columbia University, School of International and Public Affairs; Columbia University, School of Professional Studies:Kazakhstan Solar Desalination Fund","New York University, Stern School of Business; Queen's University, Smith School of Business; Sciences Po University; University of Toronto, Rotman School of Management:Gloria Insurance"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2016 ,"University of Southern California, Marshall School of Business:Terra Limpa","University of Virginia, Darden School of Business:Red Ribbon Fund","Hong Kong University of Science and Technology, Business School:Biogriculture Fund","Harvard University, Harvard Business School; Harvard University, Harvard Kennedy School:Agua Potavel Infrastructure Fund"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2015 ,"University of California, Berkeley, Haas School of Business:Blue Forest","National University of Singapore, Business School:CampoColombia","Northwestern University, Kellogg School of Management:Floating Green Capital",London Business School:Enpower Capital
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2020 ,"New York University, Stern School of Business; New York University, Wagner School of Public Service:Refugee ETF","Columbia University, Columbia Business School:SWEEPCO Bonds","Tufts University, The Fletcher School of Law and Diplomacy:FARM: Fund for Adopting Responsible Materials","University of Rochester, Simon School of Business:Consolidate And Recycle Fund (CARe)"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2019 ,"Northwestern University, Kellogg School of Management:The Carbon Yield Fund","Johns Hopkins University, School of Advanced International Studies; Columbia University, School of International and Public Affairs; Duke University, Nicholas School of the Environment; Massachusetts Institute of Technology, School of Humanities Arts and Social Sciences:Grey to Green Fund (G2G)","University of California Berkeley, Haas School of Business:Sustainable Livelihoods Opportunity Fund","Tufts University, The Fletcher School of Law and Diplomacy:Indian Smart Solar Muni+ Fund"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:31,2012 ,"Stanford University, International Policy Studies:Rural Electrification with Renewable Energy","Northwestern University, Kellogg School of Management:Upskill Capital","University of South Carolina, Moore School of Business:Private Green Revolving Fund","Duke University, Fuqua School of Business:Worldwide Impact Indexed Notes"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:32,2013 ,"Northwestern University, Kellogg School of Management:Outcomes Innovation Capital",Thammasat Business School:EThree Fund,"Tufts University, Fletcher School:Food Security Catastrophe Bonds","Vanderbilt University, Owen Graduate School of Management:ES Asset Management"
Kellogg-Morgan Stanley Sustainable Investing Challenge,2024-04-28 17:16:32,2011 ,"Northwestern University, Kellogg School of Management:Grain Depot","University of Oxford, Saïd Business School:Native Energies Fund","University of Michigan, Ross School of Business:ReVive","New York University, Stern School of Business:Blended Value Int'l Water Fund"
